,>ENST00000478876.1,>ENST00000497294.1,>ENST00000487566.1,>ENST00000538746.1,>ENST00000413404.1,>ENST00000485823.1,>ENST00000604072.1,>ENST00000506277.1,>ENST00000554856.1,>ENST00000624197.2,>ENST00000557027.2,>ENST00000406079.1,>ENST00000612158.1,>ENST00000595307.1,>ENST00000412087.2,>ENST00000549563.1,>ENST00000595362.1,>ENST00000328462.7,>ENST00000505354.1,>ENST00000434750.1,>ENST00000401492.1,>ENST00000441633.2,>ENST00000427219.1,>ENST00000530657.1,>ENST00000451550.1,>ENST00000613365.1,>ENST00000335274.2,>ENST00000564334.5,>ENST00000436565.2,>ENST00000446783.1,>ENST00000625294.1,ENSG00000202092.1,>ENST00000372054.2,>ENST00000462248.1,>ENST00000426566.1,>ENST00000431648.7,>ENST00000397776.2,>ENST00000547295.2,>ENST00000604776.1,>ENST00000553993.1,>ENST00000454831.1,>ENST00000619615.1,>ENST00000530858.5,>ENST00000438285.1,>ENST00000446657.2,>ENST00000342688.4,>ENST00000558213.3,>ENST00000450119.1,>ENST00000458298.1,>ENST00000503598.2,>ENST00000604037.1,>ENST00000447723.1,>ENST00000623809.1,>ENST00000425095.1,>ENST00000427781.1,>ENST00000532284.1,>ENST00000447552.1,>ENST00000406551.2,>ENST00000443067.1,>ENST00000450395.1,>ENST00000438474.1,>ENST00000598588.2,>ENST00000452798.1,>ENST00000604510.1,>ENST00000551270.1
>ENST00000558213.3,10.0,11.0,8.0,8.0,10.0,11.0,10.0,10.0,9.0,12.0,11.0,12.0,8.0,9.0,588.0,9.0,12.0,10.0,10.0,12.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,12.0,13.0,11.0,11.0,8.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,8.0,0.0,10.0,9.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,8.0,10.0,11.0
>ENST00000450119.1,12.0,12.0,11.0,15.0,13.0,13.0,9.0,12.0,12.0,11.0,10.0,11.0,10.0,12.0,10.0,11.0,11.0,12.0,12.0,11.0,10.0,10.0,10.0,12.0,9.0,9.0,12.0,11.0,12.0,12.0,9.0,8.0,12.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,10.0,0.0,10.0,12.0,10.0,11.0,9.0,12.0,10.0,10.0,12.0,15.0,10.0,11.0,10.0,9.0,9.0,14.0,12.0
>ENST00000458298.1,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,14.0,14.0,12.0,8.0,8.0,8.0,9.0,8.0,8.0,11.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,0.0,11.0,7.0,10.0,11.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,12.0,9.0,7.0,9.0,11.0
>ENST00000503598.2,11.0,10.0,11.0,12.0,11.0,12.0,10.0,10.0,8.0,9.0,15.0,9.0,8.0,9.0,14.0,9.0,8.0,8.0,8.0,11.0,8.0,8.0,8.0,10.0,9.0,9.0,11.0,12.0,11.0,11.0,11.0,7.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,12.0,11.0,0.0,10.0,8.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,12.0
>ENST00000604037.1,8.0,8.0,7.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,7.0,6.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,10.0,0.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0
>ENST00000447723.1,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,10.0,14.0,11.0,10.0,7.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,0.0,9.0,9.0,10.0,12.0,12.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0
>ENST00000623809.1,11.0,8.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,12.0,10.0,9.0,8.0,10.0,10.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,11.0,8.0,9.0,9.0,0.0,11.0,11.0,8.0,10.0,12.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0
>ENST00000425095.1,188.0,13.0,8.0,13.0,11.0,223.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,12.0,11.0,8.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,8.0,7.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,13.0,11.0,12.0,10.0,9.0,7.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,12.0,9.0,9.0,10.0,9.0,11.0,0.0,8.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0
>ENST00000427781.1,10.0,8.0,11.0,13.0,10.0,10.0,9.0,12.0,8.0,11.0,10.0,9.0,9.0,10.0,12.0,9.0,8.0,11.0,11.0,11.0,11.0,8.0,10.0,10.0,8.0,9.0,8.0,11.0,13.0,9.0,9.0,8.0,9.0,12.0,9.0,12.0,12.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,11.0,8.0,0.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,6.0,11.0,13.0
>ENST00000532284.1,9.0,11.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,12.0,9.0,8.0,8.0,10.0,8.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,13.0,10.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,12.0,8.0,9.0,10.0,0.0,11.0,11.0,10.0,8.0,11.0,9.0,7.0,9.0,11.0
>ENST00000447552.1,10.0,10.0,9.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,11.0,12.0,8.0,10.0,14.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,9.0,9.0,12.0,12.0,11.0,10.0,11.0,9.0,9.0,12.0,12.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,12.0,9.0,12.0,10.0,12.0,10.0,11.0,0.0,12.0,13.0,9.0,10.0,10.0,9.0,10.0,12.0
>ENST00000406551.2,11.0,10.0,8.0,11.0,11.0,10.0,8.0,11.0,11.0,11.0,10.0,12.0,8.0,10.0,11.0,8.0,9.0,11.0,11.0,14.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,14.0,12.0,9.0,9.0,9.0,12.0,9.0,11.0,10.0,12.0,8.0,11.0,10.0,11.0,12.0,10.0,9.0,9.0,11.0,15.0,9.0,9.0,9.0,9.0,12.0,10.0,10.0,11.0,12.0,0.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0
>ENST00000443067.1,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,9.0,13.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,13.0,10.0,0.0,9.0,10.0,8.0,10.0,8.0,11.0
>ENST00000450395.1,10.0,8.0,9.0,11.0,11.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,17.0,8.0,9.0,10.0,10.0,12.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,12.0,11.0,11.0,9.0,8.0,7.0,8.0,9.0,10.0,12.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,11.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,0.0,8.0,10.0,7.0,9.0,11.0
>ENST00000438474.1,9.0,9.0,8.0,8.0,11.0,10.0,9.0,11.0,8.0,13.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,8.0,11.0,9.0,13.0,13.0,8.0,8.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,8.0,10.0,11.0,10.0,12.0,10.0,8.0,0.0,9.0,7.0,9.0,13.0
>ENST00000598588.2,9.0,9.0,7.0,9.0,9.0,8.0,6.0,9.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,11.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,8.0,7.0,9.0,11.0,13.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,0.0,10.0,8.0,13.0
>ENST00000452798.1,9.0,9.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,7.0,7.0,6.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,6.0,7.0,9.0,9.0,10.0,7.0,7.0,10.0,0.0,10.0,9.0
>ENST00000604510.1,11.0,11.0,9.0,14.0,10.0,13.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,7.0,8.0,10.0,9.0,11.0,9.0,9.0,8.0,8.0,12.0,10.0,11.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,14.0,9.0,12.0,8.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0,0.0,10.0
>ENST00000551270.1,11.0,11.0,11.0,15.0,11.0,11.0,9.0,13.0,10.0,11.0,13.0,11.0,9.0,11.0,12.0,10.0,9.0,12.0,12.0,11.0,10.0,9.0,10.0,12.0,10.0,9.0,12.0,11.0,13.0,11.0,11.0,9.0,12.0,10.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,12.0,11.0,12.0,9.0,11.0,10.0,11.0,13.0,11.0,12.0,11.0,11.0,11.0,13.0,13.0,9.0,10.0,0.0
