,>ENST00000382988.3,>ENST00000566307.1,>ENST00000255320.6,>ENST00000482174.2,>ENST00000511770.1,>ENST00000415407.1,>ENST00000619088.1,>ENST00000455242.1,>ENST00000416146.1,>ENST00000551083.1,>ENST00000468042.1,>ENST00000438228.1,>ENST00000571144.1,>ENST00000413033.1,>ENST00000563326.1,>ENST00000510860.1,>ENST00000560051.1,ENSG00000252103.1,>ENST00000557720.2,ENSG00000221375.1,>ENST00000431298.1,>ENST00000438251.2,>ENST00000547483.1,ENSG00000201324.1,>ENST00000511903.1,>ENST00000605812.1,>ENST00000472924.1,>ENST00000424058.1,>ENST00000433284.1,>ENST00000620583.1,>ENST00000400136.2,>ENST00000421179.1,>ENST00000506136.1,>ENST00000581294.2,>ENST00000619329.1,>ENST00000495779.1,>ENST00000635547.1,>ENST00000426448.1,>ENST00000480199.1,>ENST00000419017.1,>ENST00000615812.1,>ENST00000511877.1,>ENST00000402039.1,>ENST00000366529.4,>ENST00000446654.1,>ENST00000443564.1,>ENST00000453012.1,>ENST00000415266.1,>ENST00000603327.1,>ENST00000502853.2,>ENST00000603760.1,>ENST00000430630.2,>ENST00000442391.1,>ENST00000429016.2,>ENST00000402155.2,>ENST00000444765.1,ENSG00000252973.1,>ENST00000528049.2,ENSG00000076344.15,>ENST00000513552.1,ENSG00000212587.1,>ENST00000619190.1,>ENST00000457576.1,>ENST00000483240.1,>ENST00000533268.1,ENSG00000187049.9
>ENST00000443564.1,10.0,10.0,12.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,12.0,10.0,10.0,11.0,11.0,7.0,9.0,9.0,12.0,12.0,11.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,12.0,9.0,8.0,14.0,9.0,9.0,8.0,11.0,11.0,12.0,9.0,11.0,10.0,11.0,10.0,0.0,10.0,9.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,13.0,10.0,9.0,12.0,10.0,10.0,10.0,12.0
>ENST00000453012.1,7.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,9.0,7.0,11.0,7.0,8.0,9.0,7.0,10.0,7.0,8.0,9.0,8.0,7.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,7.0,9.0,6.0,8.0,8.0,8.0,11.0,10.0,7.0,10.0,14.0,8.0,8.0,10.0,0.0,10.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,9.0,7.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0
>ENST00000415266.1,10.0,8.0,11.0,10.0,8.0,10.0,9.0,13.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,11.0,7.0,10.0,11.0,8.0,8.0,10.0,9.0,10.0,13.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,11.0,9.0,10.0,11.0,9.0,10.0,0.0,8.0,10.0,10.0,13.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,12.0,8.0,11.0,10.0,12.0,10.0,13.0
>ENST00000603327.1,9.0,8.0,11.0,9.0,8.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,6.0,9.0,6.0,11.0,9.0,8.0,8.0,7.0,32.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,11.0,8.0,9.0,7.0,12.0,10.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,0.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,7.0,10.0,11.0,8.0,8.0,8.0,8.0,12.0,8.0,11.0
>ENST00000502853.2,8.0,8.0,9.0,8.0,9.0,9.0,7.0,10.0,12.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,0.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0
>ENST00000603760.1,12.0,7.0,12.0,7.0,10.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,6.0,9.0,9.0,9.0,11.0,8.0,6.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,0.0,9.0,8.0,9.0,8.0,8.0,7.0,12.0,14.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0
>ENST00000430630.2,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,7.0,10.0,7.0,9.0,11.0,10.0,8.0,10.0,9.0,14.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,10.0,9.0,9.0,11.0,8.0,13.0,10.0,8.0,9.0,0.0,9.0,15.0,8.0,9.0,8.0,11.0,11.0,10.0,9.0,12.0,9.0,11.0,9.0,12.0
>ENST00000442391.1,8.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,9.0,10.0,11.0,10.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0,9.0,7.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,8.0,8.0,10.0,10.0,13.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,10.0,10.0,8.0,10.0,12.0
>ENST00000429016.2,9.0,12.0,11.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,11.0,9.0,7.0,9.0,6.0,12.0,11.0,8.0,6.0,11.0,8.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,7.0,7.0,11.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,7.0,10.0,8.0,9.0,9.0,15.0,9.0,0.0,8.0,9.0,7.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,12.0,10.0
>ENST00000402155.2,8.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,11.0,9.0,9.0,7.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,12.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,0.0,8.0,8.0,12.0,11.0,9.0,7.0,9.0,9.0,10.0,10.0,12.0
>ENST00000444765.1,8.0,10.0,10.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,8.0,10.0,8.0,10.0,10.0,13.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,8.0,11.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,0.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0
ENSG00000252973.1,9.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,33.0,10.0,7.0,10.0,8.0,7.0,7.0,9.0,7.0,6.0,8.0,6.0,7.0,6.0,9.0,7.0,10.0,7.0,9.0,8.0,8.0,7.0,8.0,7.0,10.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,11.0,0.0,9.0,9.0,7.0,11.0,7.0,9.0,14.0,8.0,8.0
>ENST00000528049.2,10.0,9.0,16.0,12.0,11.0,8.0,11.0,15.0,11.0,10.0,9.0,11.0,9.0,10.0,8.0,8.0,13.0,9.0,10.0,8.0,10.0,12.0,9.0,8.0,11.0,9.0,13.0,10.0,12.0,10.0,12.0,12.0,9.0,11.0,10.0,10.0,9.0,11.0,12.0,10.0,9.0,14.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,12.0,11.0,9.0,0.0,10.0,13.0,13.0,15.0,10.0,11.0,9.0,11.0
ENSG00000076344.15,11.0,11.0,10.0,12.0,10.0,11.0,11.0,28.0,9.0,11.0,13.0,10.0,10.0,9.0,9.0,12.0,10.0,10.0,11.0,8.0,12.0,13.0,9.0,11.0,12.0,10.0,13.0,12.0,13.0,12.0,12.0,12.0,10.0,11.0,9.0,11.0,10.0,12.0,12.0,35.0,11.0,12.0,11.0,12.0,10.0,13.0,10.0,11.0,11.0,9.0,14.0,11.0,11.0,12.0,11.0,11.0,9.0,10.0,0.0,11.0,9.0,13.0,11.0,90.0,12.0,154.0
>ENST00000513552.1,9.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,8.0,8.0,9.0,9.0,8.0,11.0,7.0,10.0,11.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,8.0,8.0,12.0,10.0,14.0,8.0,11.0,11.0,9.0,10.0,10.0,10.0,12.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,7.0,13.0,11.0,0.0,8.0,10.0,9.0,11.0,9.0,11.0
ENSG00000212587.1,9.0,7.0,8.0,8.0,8.0,7.0,7.0,9.0,12.0,9.0,8.0,8.0,8.0,7.0,5.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,6.0,7.0,9.0,9.0,7.0,7.0,7.0,9.0,9.0,7.0,8.0,6.0,8.0,6.0,9.0,10.0,10.0,7.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,11.0,11.0,13.0,9.0,8.0,0.0,8.0,7.0,7.0,8.0,9.0
>ENST00000619190.1,10.0,10.0,12.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,12.0,10.0,10.0,12.0,9.0,12.0,11.0,13.0,9.0,10.0,10.0,9.0,15.0,7.0,9.0,9.0,11.0,14.0,13.0,10.0,12.0,11.0,10.0,10.0,12.0,9.0,11.0,8.0,9.0,9.0,12.0,10.0,11.0,9.0,10.0,7.0,15.0,13.0,10.0,8.0,0.0,11.0,11.0,9.0,12.0
>ENST00000457576.1,11.0,10.0,10.0,8.0,10.0,11.0,9.0,12.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,11.0,7.0,11.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,12.0,10.0,11.0,8.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,0.0,8.0,9.0,10.0
>ENST00000483240.1,10.0,8.0,10.0,9.0,8.0,7.0,9.0,63.0,10.0,9.0,9.0,9.0,11.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,12.0,10.0,9.0,10.0,14.0,9.0,11.0,13.0,9.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,12.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,12.0,12.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,14.0,11.0,90.0,11.0,7.0,11.0,8.0,0.0,9.0,122.0
>ENST00000533268.1,8.0,12.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,7.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,11.0,8.0,11.0,8.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,8.0,9.0,12.0,9.0,8.0,9.0,9.0,9.0,0.0,11.0
ENSG00000187049.9,12.0,10.0,13.0,10.0,11.0,10.0,10.0,56.0,13.0,10.0,13.0,11.0,11.0,10.0,9.0,11.0,11.0,12.0,11.0,9.0,12.0,12.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,13.0,12.0,11.0,12.0,9.0,10.0,11.0,12.0,11.0,27.0,10.0,13.0,12.0,13.0,11.0,12.0,10.0,13.0,11.0,10.0,10.0,12.0,12.0,10.0,12.0,11.0,8.0,11.0,154.0,11.0,9.0,12.0,10.0,122.0,11.0,0.0
