,ENSG00000202239.1,ENSG00000274603.1,ENSG00000167525.13,ENSG00000202240.1,ENSG00000223327.1,ENSG00000202499.1,ENSG00000207053.1,ENSG00000238634.1,ENSG00000105261.7,ENSG00000198972.2,ENSG00000273913.1,ENSG00000221336.1,ENSG00000252717.1,ENSG00000183729.3,ENSG00000200257.1,ENSG00000201825.1,ENSG00000196240.3,ENSG00000168517.10,ENSG00000251983.1,ENSG00000243951.1,ENSG00000264916.2,ENSG00000200646.1,ENSG00000223307.2,ENSG00000252659.1,ENSG00000223203.1,ENSG00000272439.1,ENSG00000178084.1,ENSG00000223125.1,ENSG00000143258.15,ENSG00000274075.1,ENSG00000259384.6,ENSG00000201560.1,ENSG00000205143.2,ENSG00000199415.1,ENSG00000252696.1,ENSG00000205808.5,ENSG00000202339.1,ENSG00000222983.1,ENSG00000207475.1,ENSG00000252080.1,ENSG00000223175.1,ENSG00000133574.9,ENSG00000177476.3,ENSG00000241291.3,ENSG00000126266.3,ENSG00000252029.1,ENSG00000221260.2,ENSG00000196859.7,ENSG00000200629.1,ENSG00000212044.2,ENSG00000251764.1,ENSG00000252200.1,ENSG00000200209.1,ENSG00000129152.3,ENSG00000222057.1,ENSG00000252170.2,ENSG00000275510.1,ENSG00000243817.3,ENSG00000263841.2,ENSG00000222614.1,ENSG00000144015.4,ENSG00000251773.1,ENSG00000223191.1,ENSG00000274293.1,ENSG00000200343.1,ENSG00000207652.1,ENSG00000274744.1,ENSG00000212378.1,ENSG00000231637.3,ENSG00000187003.6,ENSG00000199901.1,ENSG00000199727.2,ENSG00000206788.1,ENSG00000252582.1,ENSG00000244335.3,ENSG00000206726.1,ENSG00000200312.1,ENSG00000212455.1,ENSG00000253054.1,ENSG00000201291.1,ENSG00000274267.1,ENSG00000252031.1,ENSG00000279510.1,ENSG00000194717.3,ENSG00000201065.1,ENSG00000221416.1,ENSG00000278771.1,ENSG00000154518.9,ENSG00000201796.1,ENSG00000239697.10,ENSG00000266277.1,ENSG00000011009.10,ENSG00000199884.1,ENSG00000239057.1,ENSG00000199069.2,ENSG00000108691.9,ENSG00000222631.3,ENSG00000201316.1,ENSG00000278189.1,ENSG00000223044.1,ENSG00000252202.1,ENSG00000251883.1,ENSG00000146047.5,ENSG00000252750.1,ENSG00000148156.7,ENSG00000221801.1,ENSG00000222777.1,ENSG00000114767.6,ENSG00000222526.2,ENSG00000201794.1,ENSG00000275364.1,ENSG00000277836.1,ENSG00000252162.1,ENSG00000212576.1,ENSG00000126368.5,ENSG00000254585.2,ENSG00000184995.7,ENSG00000252688.1,ENSG00000271819.1,ENSG00000207435.1,ENSG00000268674.2,ENSG00000197153.4,ENSG00000274663.1,ENSG00000201364.1,ENSG00000225110.2,ENSG00000252337.1,ENSG00000253070.1,ENSG00000252156.1,ENSG00000253021.1,ENSG00000202263.1,ENSG00000266849.1,ENSG00000222617.1,ENSG00000223062.1,ENSG00000256374.2,ENSG00000251834.1,ENSG00000274301.1,ENSG00000207626.1,ENSG00000212588.1,ENSG00000252395.2,ENSG00000101888.11,ENSG00000222821.1,ENSG00000101843.18,ENSG00000240205.3,ENSG00000200150.1,ENSG00000281339.1,ENSG00000278150.1,ENSG00000163155.11,ENSG00000200495.1,ENSG00000173369.15,ENSG00000201502.1
ENSG00000259384.6,9.0,9.0,15.0,9.0,10.0,8.0,9.0,8.0,12.0,10.0,8.0,8.0,7.0,11.0,9.0,9.0,11.0,13.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,13.0,12.0,13.0,10.0,0.0,9.0,11.0,9.0,7.0,11.0,7.0,11.0,10.0,8.0,9.0,12.0,9.0,11.0,10.0,9.0,8.0,13.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,7.0,8.0,10.0,9.0,13.0,12.0,8.0,8.0,9.0,9.0,9.0,11.0,7.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,13.0,9.0,9.0,8.0,9.0,12.0,8.0,12.0,7.0,13.0,9.0,9.0,9.0,12.0,7.0,10.0,8.0,8.0,8.0,7.0,10.0,8.0,12.0,8.0,9.0,15.0,7.0,10.0,8.0,9.0,9.0,8.0,13.0,12.0,11.0,8.0,9.0,9.0,10.0,12.0,9.0,10.0,12.0,10.0,8.0,9.0,8.0,10.0,8.0,15.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,11.0,8.0,11.0,9.0,8.0,8.0,8.0,11.0,9.0,12.0,9.0
ENSG00000201560.1,29.0,6.0,9.0,35.0,6.0,6.0,17.0,6.0,9.0,5.0,7.0,6.0,12.0,7.0,21.0,32.0,7.0,10.0,8.0,8.0,7.0,7.0,6.0,27.0,8.0,18.0,10.0,7.0,9.0,7.0,9.0,0.0,10.0,8.0,8.0,9.0,6.0,7.0,7.0,5.0,7.0,10.0,8.0,8.0,8.0,7.0,6.0,10.0,6.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,10.0,18.0,23.0,6.0,8.0,6.0,8.0,6.0,7.0,9.0,6.0,7.0,30.0,9.0,10.0,35.0,7.0,7.0,4.0,8.0,6.0,15.0,8.0,5.0,32.0,6.0,8.0,9.0,19.0,10.0,6.0,9.0,5.0,6.0,6.0,8.0,8.0,8.0,7.0,11.0,7.0,7.0,7.0,5.0,8.0,6.0,23.0,9.0,8.0,8.0,8.0,8.0,20.0,6.0,11.0,9.0,9.0,15.0,15.0,12.0,7.0,8.0,9.0,7.0,9.0,6.0,14.0,21.0,19.0,7.0,8.0,7.0,14.0,8.0,15.0,6.0,8.0,7.0,20.0,14.0,7.0,9.0,8.0,8.0,6.0,6.0,10.0,23.0,10.0,7.0
ENSG00000205143.2,11.0,11.0,132.0,10.0,9.0,9.0,10.0,9.0,13.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,12.0,104.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,10.0,143.0,10.0,14.0,11.0,11.0,10.0,0.0,11.0,9.0,14.0,9.0,10.0,10.0,10.0,13.0,12.0,11.0,10.0,13.0,8.0,9.0,157.0,10.0,8.0,9.0,9.0,10.0,12.0,9.0,8.0,10.0,10.0,13.0,13.0,91.0,10.0,10.0,10.0,11.0,9.0,14.0,9.0,11.0,12.0,10.0,11.0,10.0,10.0,11.0,9.0,14.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,11.0,123.0,9.0,174.0,9.0,14.0,10.0,8.0,11.0,12.0,10.0,9.0,9.0,9.0,11.0,9.0,14.0,9.0,11.0,9.0,12.0,100.0,9.0,10.0,9.0,10.0,10.0,11.0,101.0,15.0,13.0,10.0,10.0,8.0,12.0,12.0,12.0,11.0,13.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,13.0,9.0,117.0,9.0,121.0,10.0,8.0,9.0,9.0,166.0,9.0,13.0,11.0
ENSG00000199415.1,6.0,8.0,15.0,6.0,7.0,6.0,6.0,6.0,12.0,7.0,7.0,6.0,7.0,11.0,5.0,6.0,10.0,12.0,7.0,7.0,7.0,8.0,5.0,8.0,44.0,5.0,13.0,7.0,10.0,7.0,9.0,8.0,11.0,0.0,35.0,8.0,9.0,50.0,8.0,7.0,6.0,10.0,8.0,6.0,12.0,13.0,5.0,8.0,6.0,5.0,24.0,7.0,8.0,9.0,5.0,5.0,7.0,7.0,7.0,6.0,10.0,6.0,6.0,7.0,90.0,6.0,9.0,6.0,9.0,10.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,6.0,9.0,6.0,12.0,7.0,10.0,6.0,6.0,5.0,7.0,11.0,6.0,9.0,5.0,9.0,8.0,5.0,9.0,9.0,5.0,6.0,6.0,5.0,7.0,6.0,7.0,9.0,9.0,5.0,6.0,11.0,6.0,7.0,7.0,6.0,6.0,9.0,10.0,10.0,9.0,6.0,7.0,6.0,9.0,10.0,16.0,7.0,9.0,6.0,6.0,5.0,6.0,43.0,5.0,10.0,6.0,8.0,6.0,7.0,6.0,6.0,8.0,10.0,6.0,11.0,6.0,6.0,5.0,5.0,9.0,6.0,10.0,7.0
ENSG00000252696.1,6.0,7.0,12.0,6.0,7.0,6.0,6.0,7.0,9.0,6.0,7.0,7.0,7.0,9.0,6.0,6.0,8.0,11.0,7.0,7.0,7.0,6.0,7.0,8.0,25.0,6.0,10.0,7.0,9.0,8.0,7.0,8.0,9.0,35.0,0.0,10.0,6.0,30.0,7.0,7.0,7.0,10.0,8.0,7.0,10.0,10.0,7.0,9.0,8.0,6.0,16.0,7.0,6.0,8.0,5.0,6.0,7.0,7.0,7.0,5.0,12.0,8.0,9.0,7.0,34.0,6.0,7.0,10.0,8.0,10.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,8.0,10.0,8.0,6.0,7.0,7.0,11.0,9.0,11.0,7.0,9.0,6.0,6.0,6.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,7.0,12.0,7.0,8.0,7.0,6.0,7.0,14.0,9.0,9.0,10.0,6.0,7.0,6.0,9.0,8.0,11.0,8.0,9.0,7.0,7.0,7.0,7.0,31.0,6.0,10.0,7.0,8.0,6.0,7.0,5.0,6.0,6.0,11.0,7.0,9.0,7.0,6.0,7.0,7.0,10.0,6.0,10.0,7.0
ENSG00000205808.5,9.0,10.0,14.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,12.0,8.0,9.0,11.0,9.0,9.0,12.0,15.0,10.0,12.0,9.0,8.0,9.0,8.0,8.0,9.0,13.0,9.0,12.0,9.0,11.0,9.0,14.0,8.0,10.0,0.0,9.0,9.0,11.0,8.0,8.0,13.0,11.0,9.0,14.0,8.0,10.0,13.0,9.0,9.0,9.0,10.0,9.0,13.0,9.0,8.0,9.0,9.0,12.0,11.0,12.0,11.0,9.0,11.0,8.0,8.0,14.0,9.0,12.0,15.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,12.0,9.0,8.0,8.0,10.0,12.0,9.0,13.0,9.0,13.0,8.0,8.0,8.0,10.0,8.0,12.0,8.0,10.0,9.0,9.0,11.0,9.0,14.0,8.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,10.0,13.0,13.0,11.0,9.0,9.0,9.0,12.0,12.0,11.0,10.0,12.0,10.0,9.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,14.0,10.0,13.0,8.0,9.0,7.0,9.0,12.0,10.0,15.0,8.0
ENSG00000202339.1,7.0,6.0,9.0,7.0,8.0,9.0,6.0,6.0,8.0,7.0,7.0,7.0,7.0,9.0,6.0,7.0,8.0,15.0,7.0,6.0,8.0,6.0,7.0,7.0,5.0,6.0,12.0,8.0,10.0,6.0,7.0,6.0,9.0,9.0,6.0,9.0,0.0,6.0,10.0,6.0,11.0,10.0,8.0,8.0,10.0,6.0,7.0,10.0,6.0,6.0,9.0,6.0,6.0,8.0,29.0,7.0,8.0,8.0,8.0,6.0,10.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,9.0,8.0,6.0,6.0,7.0,6.0,10.0,6.0,6.0,8.0,5.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,12.0,7.0,10.0,7.0,11.0,6.0,6.0,7.0,10.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,10.0,8.0,8.0,7.0,8.0,6.0,6.0,10.0,11.0,8.0,7.0,8.0,6.0,8.0,8.0,6.0,7.0,10.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,9.0,8.0,6.0,6.0,8.0,6.0,6.0,9.0,26.0,10.0,8.0,7.0,7.0,7.0,9.0,7.0,9.0,7.0
ENSG00000222983.1,6.0,9.0,9.0,6.0,7.0,7.0,6.0,6.0,9.0,6.0,7.0,7.0,6.0,11.0,6.0,6.0,10.0,9.0,7.0,11.0,7.0,6.0,6.0,7.0,26.0,6.0,10.0,7.0,9.0,7.0,11.0,7.0,10.0,50.0,30.0,9.0,6.0,0.0,7.0,6.0,6.0,9.0,9.0,7.0,9.0,16.0,7.0,10.0,6.0,6.0,22.0,6.0,7.0,9.0,6.0,5.0,7.0,8.0,9.0,5.0,11.0,7.0,6.0,7.0,50.0,6.0,8.0,6.0,10.0,9.0,5.0,9.0,6.0,5.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,10.0,6.0,7.0,6.0,7.0,10.0,6.0,10.0,6.0,9.0,7.0,6.0,9.0,10.0,7.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0,9.0,6.0,6.0,12.0,7.0,8.0,6.0,7.0,6.0,9.0,8.0,8.0,9.0,6.0,6.0,6.0,9.0,10.0,19.0,8.0,10.0,7.0,6.0,6.0,5.0,34.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,11.0,7.0,10.0,7.0,6.0,7.0,7.0,9.0,5.0,10.0,7.0
ENSG00000207475.1,8.0,8.0,11.0,7.0,7.0,6.0,6.0,6.0,10.0,6.0,7.0,7.0,6.0,8.0,6.0,7.0,9.0,9.0,10.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,10.0,7.0,10.0,7.0,10.0,8.0,7.0,11.0,10.0,7.0,0.0,6.0,7.0,10.0,10.0,8.0,9.0,6.0,6.0,10.0,7.0,7.0,6.0,7.0,7.0,10.0,6.0,5.0,7.0,8.0,7.0,7.0,9.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,10.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,8.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,9.0,6.0,10.0,7.0,9.0,7.0,7.0,8.0,9.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,5.0,8.0,7.0,7.0,12.0,6.0,8.0,6.0,8.0,7.0,8.0,11.0,8.0,7.0,6.0,7.0,7.0,7.0,9.0,6.0,8.0,9.0,6.0,5.0,7.0,7.0,7.0,8.0,8.0,7.0,9.0,6.0,7.0,7.0,6.0,8.0,9.0,7.0,10.0,7.0,6.0,7.0,6.0,8.0,6.0,12.0,6.0
ENSG00000252080.1,5.0,7.0,8.0,6.0,6.0,6.0,5.0,5.0,8.0,5.0,5.0,10.0,6.0,8.0,7.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,5.0,6.0,5.0,10.0,6.0,11.0,7.0,8.0,5.0,10.0,7.0,7.0,8.0,6.0,6.0,6.0,0.0,6.0,9.0,8.0,6.0,7.0,6.0,7.0,10.0,6.0,8.0,6.0,6.0,8.0,9.0,6.0,7.0,9.0,6.0,6.0,6.0,9.0,5.0,7.0,7.0,6.0,8.0,7.0,5.0,7.0,7.0,6.0,9.0,5.0,7.0,6.0,5.0,8.0,9.0,21.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,9.0,6.0,9.0,6.0,9.0,7.0,7.0,5.0,8.0,8.0,7.0,6.0,7.0,6.0,5.0,6.0,20.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,6.0,5.0,7.0,12.0,8.0,10.0,5.0,5.0,6.0,6.0,8.0,7.0,8.0,8.0,9.0,5.0,6.0,6.0,6.0,9.0,7.0,5.0,7.0,5.0,6.0,7.0,5.0,6.0,10.0,5.0,9.0,6.0,7.0,6.0,7.0,8.0,6.0,10.0,5.0
ENSG00000223175.1,7.0,5.0,8.0,7.0,8.0,8.0,6.0,7.0,10.0,6.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,10.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,11.0,8.0,9.0,6.0,9.0,7.0,13.0,6.0,7.0,8.0,11.0,6.0,7.0,6.0,0.0,11.0,9.0,6.0,9.0,6.0,7.0,11.0,6.0,8.0,6.0,6.0,6.0,7.0,22.0,7.0,9.0,7.0,6.0,6.0,10.0,7.0,7.0,5.0,5.0,5.0,8.0,6.0,8.0,9.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,7.0,9.0,8.0,7.0,7.0,7.0,6.0,10.0,8.0,10.0,10.0,8.0,5.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,10.0,7.0,8.0,8.0,7.0,6.0,10.0,6.0,7.0,7.0,8.0,9.0,9.0,5.0,6.0,7.0,9.0,9.0,8.0,9.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,10.0,10.0,11.0,6.0,7.0,7.0,7.0,9.0,6.0,10.0,7.0
ENSG00000133574.9,10.0,9.0,101.0,11.0,11.0,11.0,11.0,8.0,69.0,10.0,102.0,11.0,10.0,12.0,10.0,11.0,12.0,131.0,11.0,23.0,32.0,10.0,9.0,9.0,10.0,9.0,120.0,11.0,13.0,10.0,12.0,10.0,12.0,10.0,10.0,13.0,10.0,9.0,10.0,9.0,11.0,0.0,12.0,19.0,31.0,8.0,9.0,33.0,10.0,10.0,9.0,11.0,10.0,12.0,10.0,12.0,9.0,16.0,13.0,10.0,12.0,9.0,13.0,9.0,10.0,10.0,12.0,10.0,13.0,13.0,10.0,12.0,9.0,12.0,22.0,10.0,10.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,26.0,15.0,13.0,68.0,10.0,14.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,11.0,9.0,14.0,9.0,21.0,30.0,9.0,10.0,10.0,11.0,9.0,10.0,13.0,15.0,12.0,11.0,10.0,9.0,11.0,66.0,12.0,10.0,13.0,11.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,12.0,10.0,10.0,9.0,29.0,10.0,24.0,16.0,9.0,10.0,9.0,88.0,10.0,32.0,9.0
ENSG00000177476.3,7.0,8.0,14.0,7.0,8.0,8.0,8.0,7.0,10.0,7.0,8.0,11.0,8.0,11.0,7.0,8.0,12.0,11.0,9.0,9.0,12.0,8.0,7.0,8.0,9.0,8.0,12.0,9.0,11.0,8.0,9.0,8.0,11.0,8.0,8.0,11.0,8.0,9.0,10.0,8.0,9.0,12.0,0.0,8.0,10.0,10.0,7.0,12.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,11.0,8.0,10.0,8.0,8.0,8.0,9.0,7.0,10.0,10.0,12.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,11.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,12.0,8.0,11.0,7.0,11.0,7.0,9.0,7.0,10.0,7.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,13.0,8.0,7.0,13.0,7.0,9.0,8.0,9.0,8.0,8.0,13.0,10.0,12.0,7.0,8.0,8.0,9.0,11.0,8.0,9.0,11.0,10.0,7.0,9.0,8.0,7.0,7.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,9.0,7.0,8.0,11.0,7.0,11.0,8.0
ENSG00000241291.3,7.0,6.0,26.0,7.0,11.0,8.0,7.0,7.0,28.0,9.0,18.0,6.0,6.0,9.0,6.0,6.0,11.0,28.0,7.0,38.0,68.0,8.0,5.0,6.0,6.0,8.0,21.0,7.0,10.0,9.0,11.0,8.0,10.0,6.0,7.0,9.0,8.0,7.0,8.0,6.0,6.0,19.0,8.0,0.0,19.0,6.0,7.0,21.0,10.0,6.0,8.0,7.0,8.0,12.0,8.0,6.0,5.0,25.0,52.0,6.0,11.0,6.0,8.0,10.0,7.0,7.0,9.0,6.0,10.0,8.0,7.0,8.0,7.0,6.0,21.0,8.0,8.0,7.0,6.0,8.0,9.0,6.0,9.0,9.0,6.0,6.0,106.0,20.0,6.0,21.0,7.0,11.0,6.0,8.0,7.0,10.0,6.0,7.0,9.0,8.0,7.0,7.0,8.0,7.0,10.0,6.0,18.0,19.0,6.0,8.0,7.0,9.0,6.0,8.0,11.0,10.0,12.0,8.0,6.0,8.0,11.0,26.0,6.0,7.0,13.0,7.0,6.0,9.0,7.0,7.0,6.0,8.0,7.0,11.0,6.0,6.0,8.0,7.0,6.0,15.0,8.0,25.0,39.0,7.0,6.0,7.0,22.0,8.0,27.0,6.0
ENSG00000126266.3,8.0,9.0,29.0,8.0,8.0,8.0,8.0,8.0,41.0,9.0,27.0,8.0,9.0,11.0,10.0,8.0,11.0,36.0,9.0,20.0,20.0,10.0,8.0,7.0,8.0,8.0,32.0,9.0,13.0,9.0,10.0,8.0,13.0,12.0,10.0,14.0,10.0,9.0,9.0,7.0,9.0,31.0,10.0,19.0,0.0,9.0,8.0,45.0,9.0,8.0,8.0,9.0,9.0,12.0,10.0,8.0,9.0,17.0,30.0,11.0,13.0,10.0,8.0,9.0,9.0,9.0,12.0,7.0,11.0,10.0,8.0,10.0,10.0,9.0,20.0,9.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,9.0,7.0,7.0,37.0,25.0,8.0,25.0,7.0,13.0,8.0,10.0,9.0,12.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,11.0,8.0,27.0,37.0,10.0,10.0,8.0,10.0,8.0,10.0,11.0,12.0,12.0,8.0,9.0,7.0,11.0,29.0,10.0,9.0,13.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,13.0,11.0,33.0,21.0,8.0,8.0,8.0,39.0,8.0,30.0,7.0
ENSG00000252029.1,6.0,5.0,9.0,7.0,7.0,6.0,6.0,6.0,8.0,5.0,8.0,5.0,6.0,8.0,5.0,6.0,8.0,12.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,9.0,7.0,8.0,6.0,9.0,7.0,8.0,13.0,10.0,8.0,6.0,16.0,6.0,6.0,6.0,8.0,10.0,6.0,9.0,0.0,6.0,9.0,8.0,6.0,13.0,6.0,5.0,7.0,8.0,5.0,6.0,6.0,8.0,5.0,9.0,7.0,7.0,5.0,13.0,6.0,8.0,7.0,10.0,8.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,5.0,8.0,5.0,6.0,8.0,5.0,6.0,6.0,6.0,9.0,7.0,13.0,7.0,7.0,6.0,5.0,4.0,9.0,8.0,7.0,6.0,5.0,6.0,5.0,6.0,5.0,8.0,5.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,6.0,6.0,7.0,8.0,7.0,23.0,7.0,7.0,7.0,7.0,6.0,7.0,14.0,5.0,8.0,7.0,7.0,7.0,8.0,6.0,6.0,5.0,9.0,6.0,9.0,6.0,9.0,5.0,8.0,9.0,6.0,9.0,7.0
ENSG00000221260.2,8.0,5.0,10.0,6.0,6.0,5.0,8.0,7.0,8.0,6.0,7.0,26.0,6.0,8.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,28.0,6.0,5.0,5.0,9.0,6.0,9.0,7.0,8.0,6.0,9.0,5.0,7.0,10.0,7.0,7.0,6.0,7.0,7.0,9.0,7.0,7.0,8.0,6.0,0.0,9.0,5.0,22.0,6.0,5.0,9.0,9.0,6.0,6.0,25.0,5.0,7.0,6.0,9.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,6.0,7.0,9.0,7.0,7.0,7.0,6.0,6.0,9.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,24.0,7.0,9.0,7.0,9.0,24.0,8.0,5.0,6.0,8.0,10.0,23.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,27.0,6.0,10.0,32.0,8.0,24.0,7.0,7.0,7.0,11.0,9.0,10.0,6.0,6.0,9.0,7.0,8.0,5.0,6.0,8.0,6.0,5.0,6.0,6.0,11.0,20.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,6.0,10.0,8.0,10.0,7.0,7.0,28.0,21.0,9.0,7.0,10.0,6.0
ENSG00000196859.7,9.0,9.0,172.0,11.0,10.0,10.0,10.0,11.0,19.0,11.0,35.0,11.0,13.0,12.0,9.0,10.0,11.0,110.0,11.0,28.0,31.0,8.0,9.0,10.0,9.0,10.0,110.0,12.0,13.0,11.0,13.0,10.0,157.0,8.0,9.0,13.0,10.0,10.0,10.0,10.0,11.0,33.0,12.0,21.0,45.0,9.0,9.0,0.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,20.0,17.0,11.0,97.0,10.0,11.0,10.0,8.0,10.0,12.0,9.0,12.0,11.0,11.0,11.0,11.0,10.0,19.0,10.0,12.0,10.0,8.0,10.0,10.0,11.0,12.0,10.0,12.0,9.0,33.0,107.0,13.0,216.0,14.0,12.0,9.0,10.0,10.0,12.0,10.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,12.0,9.0,18.0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,96.0,12.0,12.0,10.0,10.0,10.0,11.0,31.0,11.0,10.0,14.0,11.0,10.0,10.0,12.0,8.0,9.0,11.0,10.0,11.0,13.0,10.0,10.0,10.0,10.0,131.0,10.0,99.0,17.0,9.0,9.0,13.0,172.0,11.0,19.0,12.0
ENSG00000200629.1,6.0,44.0,10.0,7.0,6.0,5.0,6.0,7.0,8.0,8.0,7.0,6.0,6.0,8.0,6.0,6.0,8.0,10.0,9.0,8.0,8.0,38.0,5.0,6.0,6.0,6.0,9.0,8.0,9.0,6.0,9.0,6.0,10.0,6.0,8.0,9.0,6.0,6.0,7.0,6.0,6.0,10.0,7.0,10.0,9.0,8.0,5.0,9.0,0.0,6.0,6.0,7.0,10.0,8.0,5.0,7.0,6.0,7.0,7.0,11.0,10.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,10.0,7.0,11.0,7.0,6.0,8.0,7.0,6.0,7.0,8.0,5.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,12.0,6.0,11.0,5.0,10.0,39.0,6.0,7.0,9.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,9.0,5.0,7.0,11.0,5.0,8.0,5.0,7.0,6.0,6.0,11.0,9.0,8.0,8.0,6.0,8.0,8.0,10.0,8.0,9.0,9.0,6.0,6.0,6.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,9.0,7.0,10.0,7.0,5.0,5.0,5.0,15.0,6.0,10.0,5.0
ENSG00000212044.2,10.0,6.0,9.0,7.0,6.0,5.0,6.0,7.0,8.0,6.0,6.0,23.0,6.0,8.0,6.0,10.0,10.0,9.0,6.0,7.0,8.0,5.0,32.0,7.0,5.0,6.0,8.0,7.0,9.0,7.0,9.0,8.0,8.0,5.0,6.0,9.0,6.0,6.0,7.0,8.0,8.0,10.0,9.0,6.0,8.0,6.0,22.0,10.0,6.0,0.0,6.0,6.0,5.0,8.0,9.0,6.0,23.0,7.0,6.0,5.0,9.0,6.0,8.0,5.0,5.0,6.0,10.0,6.0,8.0,8.0,6.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,27.0,7.0,11.0,6.0,10.0,25.0,8.0,6.0,5.0,7.0,9.0,17.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,10.0,45.0,6.0,10.0,29.0,7.0,24.0,8.0,10.0,7.0,9.0,10.0,9.0,7.0,7.0,6.0,7.0,11.0,6.0,8.0,8.0,9.0,7.0,10.0,10.0,5.0,21.0,6.0,9.0,8.0,7.0,5.0,8.0,7.0,7.0,10.0,7.0,13.0,6.0,6.0,16.0,15.0,9.0,6.0,8.0,6.0
