,>ENST00000440624.1,>ENST00000555540.1,>ENST00000421314.1,>ENST00000441603.1,>ENST00000559213.1,>ENST00000399931.2,>ENST00000417100.1,>ENST00000433953.2,>ENST00000430475.1,>ENST00000466136.1,>ENST00000604762.1,>ENST00000451204.1,>ENST00000540596.1,>ENST00000621060.1,>ENST00000446432.1,>ENST00000522168.1,>ENST00000436601.1,>ENST00000494376.1,>ENST00000397758.2,>ENST00000616429.1,>ENST00000435128.2,>ENST00000435214.1,>ENST00000493466.1,>ENST00000448118.1,>ENST00000430210.1,>ENST00000614278.1,ENSG00000275952.2,>ENST00000488676.2,>ENST00000603626.1,>ENST00000563400.1,>ENST00000412282.1,>ENST00000526184.1,>ENST00000496058.1,>ENST00000421118.1,>ENST00000531463.1,>ENST00000559109.2,>ENST00000450281.1,>ENST00000618885.1,>ENST00000449927.1,>ENST00000448070.1,ENSG00000143590.13,>ENST00000565846.2,>ENST00000604770.1,>ENST00000530684.1,>ENST00000403629.3,>ENST00000540982.1,>ENST00000442175.1,>ENST00000456658.1,>ENST00000615796.1,>ENST00000438986.3,>ENST00000424348.1,>ENST00000415853.1,>ENST00000517740.1,>ENST00000490961.1,>ENST00000616762.1,>ENST00000402595.1,>ENST00000605153.1,>ENST00000604892.1,>ENST00000480485.2,>ENST00000571108.1
>ENST00000424348.1,11.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,18.0,8.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,8.0,8.0,11.0,10.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,10.0,9.0,13.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,0.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0
>ENST00000415853.1,8.0,10.0,8.0,9.0,11.0,9.0,10.0,8.0,8.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,7.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,7.0,8.0,8.0,11.0,8.0,12.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,0.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
>ENST00000517740.1,9.0,13.0,9.0,9.0,8.0,8.0,10.0,7.0,7.0,9.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,9.0,11.0,7.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0,9.0,8.0,7.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,11.0,0.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0
>ENST00000490961.1,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,12.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,9.0,12.0,11.0,11.0,11.0,9.0,9.0,7.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,0.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000616762.1,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,12.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,0.0,9.0,8.0,11.0,10.0,9.0
>ENST00000402595.1,10.0,11.0,8.0,12.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,7.0,12.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,7.0,12.0,8.0,9.0,9.0,8.0,12.0,9.0,10.0,8.0,9.0,9.0,0.0,7.0,10.0,9.0,12.0
>ENST00000605153.1,7.0,10.0,8.0,9.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,11.0,8.0,8.0,8.0,7.0,10.0,8.0,10.0,8.0,11.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,11.0,9.0,8.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,0.0,9.0,7.0,8.0
>ENST00000604892.1,10.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,14.0,12.0,10.0,9.0,10.0,10.0,12.0,12.0,10.0,11.0,10.0,7.0,11.0,11.0,11.0,9.0,10.0,10.0,13.0,10.0,8.0,12.0,8.0,10.0,9.0,10.0,11.0,10.0,9.0,0.0,11.0,11.0
>ENST00000480485.2,8.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,7.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,13.0,7.0,10.0,11.0,9.0,9.0,9.0,10.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,7.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,7.0,11.0,0.0,8.0
>ENST00000571108.1,10.0,10.0,9.0,12.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,11.0,11.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,12.0,11.0,10.0,9.0,9.0,11.0,12.0,11.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,12.0,8.0,11.0,8.0,0.0
