,>ENST00000465165.1,>ENST00000444617.1,>ENST00000441609.1,>ENST00000617640.1,>ENST00000518241.1,>ENST00000512203.1,>ENST00000603490.1,>ENST00000401776.1,>ENST00000590914.1,>ENST00000505889.1,>ENST00000580869.1,>ENST00000503544.1,>ENST00000414898.1,>ENST00000417134.1,>ENST00000416030.1,>ENST00000425230.2,>ENST00000546648.1,>ENST00000520639.1,>ENST00000615881.1,>ENST00000537926.1,>ENST00000614242.1,>ENST00000475013.1,>ENST00000438594.2,>ENST00000509801.1,>ENST00000491925.1,>ENST00000519999.1,>ENST00000367211.3,>ENST00000494006.1,>ENST00000429999.2,>ENST00000456825.1,>ENST00000405131.1,>ENST00000509135.1,>ENST00000421810.1,>ENST00000561830.2,>ENST00000586758.1,>ENST00000563883.1,>ENST00000592792.1,>ENST00000504462.1,>ENST00000532487.1,>ENST00000407739.1,>ENST00000391389.3,>ENST00000604857.1,>ENST00000584107.1,>ENST00000445530.1,>ENST00000509352.1,>ENST00000604946.1,>ENST00000605307.1,>ENST00000527668.1,>ENST00000504890.1,>ENST00000611241.1,>ENST00000622110.4,>ENST00000592307.1,>ENST00000452711.1,>ENST00000605206.1,>ENST00000510160.1,>ENST00000531069.1,ENSG00000207946.2,>ENST00000513501.1,>ENST00000621125.1,>ENST00000423746.1
>ENST00000622110.4,8.0,10.0,12.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,11.0,13.0,11.0,10.0,8.0,11.0,10.0,11.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,11.0,8.0,7.0,10.0,8.0,11.0,10.0,10.0,12.0,10.0,14.0,14.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,0.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0
>ENST00000592307.1,8.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,7.0,12.0,8.0,11.0,11.0,8.0,7.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,9.0,0.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,9.0
>ENST00000452711.1,9.0,10.0,12.0,11.0,9.0,10.0,10.0,12.0,10.0,13.0,11.0,9.0,13.0,10.0,10.0,12.0,9.0,12.0,9.0,10.0,12.0,9.0,13.0,11.0,10.0,8.0,12.0,11.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,12.0,11.0,12.0,10.0,18.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,9.0,11.0,10.0,9.0,0.0,11.0,10.0,12.0,9.0,10.0,10.0,9.0
>ENST00000605206.1,8.0,8.0,11.0,9.0,9.0,8.0,7.0,8.0,12.0,9.0,6.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,11.0,7.0,7.0,10.0,8.0,10.0,8.0,8.0,6.0,10.0,8.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,10.0,8.0,7.0,10.0,7.0,9.0,10.0,10.0,11.0,0.0,8.0,6.0,8.0,9.0,8.0,6.0
>ENST00000510160.1,9.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,9.0,8.0,10.0,9.0,11.0,8.0,9.0,7.0,9.0,8.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,11.0,11.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,10.0,8.0,0.0,9.0,9.0,8.0,9.0,8.0
>ENST00000531069.1,7.0,8.0,10.0,10.0,10.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,10.0,11.0,9.0,10.0,12.0,12.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,11.0,8.0,12.0,9.0,8.0,8.0,10.0,9.0,8.0,7.0,11.0,9.0,9.0,8.0,8.0,13.0,9.0,14.0,10.0,9.0,10.0,13.0,8.0,8.0,9.0,8.0,12.0,6.0,9.0,0.0,9.0,8.0,9.0,8.0
ENSG00000207946.2,7.0,9.0,8.0,8.0,10.0,8.0,11.0,9.0,8.0,8.0,7.0,8.0,9.0,7.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,7.0,12.0,11.0,9.0,6.0,9.0,11.0,11.0,6.0,10.0,7.0,8.0,6.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,7.0,8.0,14.0,9.0,10.0,6.0,10.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,9.0,7.0
>ENST00000513501.1,8.0,9.0,10.0,10.0,11.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,9.0,13.0,8.0,9.0,11.0,10.0,9.0,11.0,8.0,11.0,9.0,8.0,8.0,11.0,8.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,0.0,9.0,9.0
>ENST00000621125.1,9.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,12.0,11.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0,13.0,11.0,11.0,11.0,10.0,17.0,10.0,10.0,7.0,10.0,10.0,11.0,10.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,13.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0
>ENST00000423746.1,7.0,8.0,9.0,12.0,8.0,11.0,8.0,7.0,9.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,12.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,11.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,6.0,8.0,8.0,7.0,9.0,9.0,0.0
