,>ENST00000530206.1,>ENST00000411753.1,>ENST00000455617.1,>ENST00000604710.1,>ENST00000603918.1,>ENST00000510553.1,>ENST00000565463.2,>ENST00000507914.2,>ENST00000434621.2,>ENST00000434404.2,>ENST00000605465.1,>ENST00000446621.1,ENSG00000252568.1,>ENST00000437359.1,>ENST00000417657.1,>ENST00000503587.1,>ENST00000489621.1,>ENST00000411675.1,>ENST00000368528.3,>ENST00000434155.1,ENSG00000186513.2,>ENST00000514739.1,>ENST00000509611.1,>ENST00000453416.1,>ENST00000541697.7,>ENST00000513713.2,>ENST00000611806.1,>ENST00000447718.1,>ENST00000464704.1,>ENST00000417882.1,>ENST00000505325.1,>ENST00000454403.1,>ENST00000479200.1,>ENST00000517842.2,>ENST00000505043.1,>ENST00000331594.8,>ENST00000404529.2,>ENST00000451067.2,ENSG00000119669.4,>ENST00000437262.1,>ENST00000551867.1,>ENST00000612789.1,>ENST00000440296.2,>ENST00000406512.1,>ENST00000507713.1,>ENST00000449848.2,>ENST00000508559.1,>ENST00000565174.5,>ENST00000342824.6,>ENST00000587908.1,>ENST00000519290.1,>ENST00000432946.1,>ENST00000508033.1,>ENST00000457930.1,>ENST00000598377.1,>ENST00000401460.1,>ENST00000442987.3,>ENST00000522682.2,>ENST00000602440.2,>ENST00000512800.1,>ENST00000424473.2,>ENST00000452720.1,>ENST00000438438.2,>ENST00000624353.1,>ENST00000468716.2,>ENST00000498718.1,>ENST00000505795.1,>ENST00000611253.1
>ENST00000507713.1,12.0,12.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,11.0,7.0,10.0,11.0,8.0,15.0,9.0,9.0,9.0,10.0,9.0,13.0,9.0,9.0,9.0,11.0,12.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,12.0,11.0,8.0,9.0,10.0,0.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0
>ENST00000449848.2,11.0,11.0,10.0,9.0,11.0,9.0,8.0,11.0,10.0,8.0,10.0,11.0,7.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,21.0,13.0,10.0,10.0,11.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,48.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,8.0,7.0,11.0,9.0,10.0,0.0,10.0,11.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
>ENST00000508559.1,14.0,13.0,11.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,7.0,12.0,12.0,9.0,10.0,11.0,10.0,10.0,9.0,14.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,0.0,9.0,11.0,14.0,8.0,10.0,8.0,10.0,9.0,9.0,11.0,10.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0
>ENST00000565174.5,10.0,12.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,7.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,9.0,11.0,8.0,11.0,8.0,8.0,8.0,9.0,8.0,13.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,0.0,9.0,11.0,8.0,9.0,8.0,10.0,8.0,8.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0
>ENST00000342824.6,10.0,11.0,12.0,10.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,11.0,7.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,11.0,11.0,12.0,11.0,12.0,12.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,12.0,8.0,9.0,12.0,9.0,10.0,11.0,9.0,0.0,15.0,9.0,11.0,8.0,10.0,9.0,10.0,12.0,12.0,10.0,11.0,11.0,11.0,10.0,8.0,11.0,9.0,10.0,12.0
>ENST00000587908.1,12.0,11.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,9.0,10.0,11.0,9.0,12.0,12.0,11.0,9.0,11.0,11.0,10.0,13.0,11.0,13.0,10.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,12.0,9.0,15.0,12.0,10.0,8.0,15.0,12.0,10.0,10.0,14.0,11.0,15.0,0.0,10.0,11.0,11.0,10.0,9.0,8.0,12.0,11.0,10.0,13.0,9.0,12.0,10.0,11.0,10.0,10.0,8.0,10.0
>ENST00000519290.1,10.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,10.0,12.0,8.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,0.0,9.0,7.0,8.0,10.0,8.0,11.0,9.0,13.0,10.0,8.0,11.0,9.0,8.0,11.0,9.0,8.0,8.0
>ENST00000432946.1,11.0,14.0,17.0,9.0,14.0,11.0,9.0,12.0,9.0,12.0,10.0,11.0,9.0,10.0,9.0,12.0,12.0,11.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,15.0,11.0,11.0,12.0,11.0,12.0,11.0,10.0,8.0,12.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,0.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,15.0,10.0
>ENST00000508033.1,9.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,11.0,7.0,9.0,0.0,9.0,8.0,6.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0
>ENST00000457930.1,11.0,11.0,8.0,9.0,11.0,7.0,8.0,9.0,9.0,10.0,11.0,9.0,7.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,12.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,9.0,8.0,10.0,8.0,9.0,7.0,10.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,0.0,9.0,9.0,13.0,8.0,12.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0
>ENST00000598377.1,9.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,11.0,8.0,8.0,10.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,7.0,12.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,6.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,0.0,8.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,8.0,7.0,8.0,8.0,7.0
>ENST00000401460.1,9.0,10.0,9.0,9.0,8.0,7.0,11.0,9.0,11.0,8.0,10.0,9.0,6.0,10.0,9.0,7.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,7.0,10.0,9.0,8.0,11.0,9.0,7.0,7.0,8.0,11.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,6.0,9.0,8.0,0.0,11.0,7.0,13.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0
>ENST00000442987.3,11.0,12.0,11.0,10.0,105.0,10.0,10.0,11.0,12.0,10.0,12.0,11.0,9.0,11.0,12.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,10.0,11.0,11.0,12.0,11.0,10.0,11.0,11.0,13.0,8.0,10.0,11.0,10.0,10.0,25.0,12.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,11.0,10.0,9.0,13.0,10.0,11.0,0.0,11.0,10.0,12.0,12.0,10.0,10.0,14.0,10.0,10.0,8.0,11.0
>ENST00000522682.2,9.0,10.0,9.0,8.0,12.0,8.0,8.0,10.0,10.0,7.0,9.0,10.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,8.0,10.0,7.0,11.0,10.0,11.0,9.0,12.0,8.0,9.0,6.0,10.0,8.0,11.0,8.0,10.0,9.0,12.0,11.0,9.0,9.0,8.0,8.0,11.0,7.0,11.0,0.0,10.0,12.0,11.0,9.0,10.0,8.0,12.0,11.0,9.0,10.0
>ENST00000602440.2,9.0,12.0,10.0,8.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,14.0,11.0,7.0,10.0,10.0,9.0,9.0,12.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,8.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,12.0,9.0,12.0,10.0,13.0,10.0,10.0,0.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0
>ENST00000512800.1,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,14.0,10.0,11.0,9.0,12.0,10.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0,12.0,9.0,9.0,10.0,13.0,10.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,12.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,12.0,11.0,0.0,9.0,9.0,10.0,10.0,11.0,9.0,13.0,10.0
>ENST00000424473.2,12.0,10.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,8.0,9.0,9.0,10.0,8.0,13.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,12.0,11.0,10.0,9.0,0.0,12.0,9.0,8.0,10.0,8.0,9.0,9.0
>ENST00000452720.1,10.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,12.0,8.0,9.0,10.0,10.0,15.0,11.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,7.0,12.0,9.0,11.0,9.0,11.0,11.0,11.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,12.0,11.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,0.0,8.0,9.0,9.0,9.0,12.0,9.0
>ENST00000438438.2,10.0,13.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,12.0,10.0,7.0,10.0,10.0,9.0,10.0,12.0,9.0,7.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,13.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,9.0,8.0,12.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,0.0,8.0,10.0,11.0,7.0,9.0
>ENST00000624353.1,9.0,9.0,9.0,8.0,9.0,7.0,7.0,9.0,10.0,7.0,9.0,9.0,5.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,8.0,8.0,9.0,8.0,12.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,10.0,14.0,8.0,10.0,10.0,8.0,9.0,8.0,0.0,9.0,10.0,10.0,8.0
>ENST00000468716.2,12.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,6.0,10.0,10.0,8.0,11.0,10.0,10.0,7.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,12.0,9.0,9.0,12.0,7.0,11.0,11.0,10.0,9.0,11.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,11.0,11.0,7.0,9.0,7.0,10.0,10.0,12.0,9.0,11.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,9.0
>ENST00000498718.1,11.0,12.0,9.0,9.0,10.0,9.0,8.0,12.0,9.0,9.0,13.0,15.0,8.0,11.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,12.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,9.0,12.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,0.0,11.0,9.0
>ENST00000505795.1,9.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,6.0,10.0,8.0,8.0,12.0,8.0,10.0,7.0,8.0,9.0,8.0,11.0,8.0,7.0,10.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0,7.0,10.0,9.0,7.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,15.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,13.0,9.0,12.0,7.0,10.0,10.0,11.0,0.0,7.0
>ENST00000611253.1,11.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,12.0,10.0,7.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,12.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,11.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,12.0,10.0,8.0,10.0,9.0,8.0,7.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,0.0
