,>ENST00000455430.1,>ENST00000441512.1,>ENST00000418783.1,>ENST00000396110.2,>ENST00000586049.3,>ENST00000435142.1,>ENST00000422539.2,>ENST00000603317.1,>ENST00000400121.2,>ENST00000603502.1,>ENST00000604698.1,>ENST00000486414.1,>ENST00000497682.1,>ENST00000564813.2,>ENST00000422979.1,>ENST00000562660.1,>ENST00000343743.4,>ENST00000424779.1,>ENST00000430144.1,>ENST00000568955.1,>ENST00000523974.1,>ENST00000450091.1,>ENST00000411735.2,>ENST00000603288.1,>ENST00000448756.1,>ENST00000504693.2,>ENST00000451731.1,>ENST00000432950.1,>ENST00000423638.1,>ENST00000446914.2,>ENST00000520036.1,>ENST00000445666.1,>ENST00000440331.1,>ENST00000529682.1,>ENST00000449384.1,>ENST00000555078.2,>ENST00000455134.1,>ENST00000442022.2,>ENST00000422088.1,>ENST00000418257.1,>ENST00000551045.1,>ENST00000418582.1,>ENST00000457574.1,>ENST00000478565.1,>ENST00000614021.1,>ENST00000404229.1,>ENST00000440922.2,>ENST00000449709.1,>ENST00000490023.1,ENSG00000135625.7,>ENST00000443534.1,>ENST00000453566.2,>ENST00000480068.2,>ENST00000631775.1,>ENST00000559612.1,>ENST00000567688.1,>ENST00000584928.1,>ENST00000412472.2,>ENST00000414667.1,>ENST00000605422.1,>ENST00000604961.1,>ENST00000427122.2,>ENST00000421282.1,>ENST00000439514.1
>ENST00000449709.1,9.0,11.0,10.0,10.0,10.0,11.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,0.0,10.0,11.0,13.0,10.0,8.0,9.0,6.0,9.0,11.0,11.0,7.0,8.0,9.0,9.0,7.0,8.0
>ENST00000490023.1,10.0,9.0,10.0,10.0,13.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,12.0,9.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,13.0,7.0,11.0,10.0,0.0,10.0,12.0,10.0,10.0,9.0,7.0,9.0,11.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0
ENSG00000135625.7,10.0,10.0,11.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,13.0,11.0,12.0,10.0,12.0,10.0,12.0,10.0,14.0,12.0,9.0,12.0,9.0,11.0,11.0,9.0,10.0,13.0,11.0,10.0,11.0,10.0,12.0,11.0,12.0,14.0,11.0,9.0,11.0,12.0,9.0,10.0,8.0,11.0,11.0,10.0,0.0,10.0,8.0,9.0,8.0,8.0,10.0,10.0,13.0,10.0,10.0,8.0,11.0,8.0,10.0
>ENST00000443534.1,9.0,9.0,10.0,13.0,12.0,9.0,10.0,10.0,12.0,9.0,12.0,9.0,9.0,12.0,11.0,12.0,10.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,13.0,12.0,10.0,0.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,9.0,8.0,8.0,11.0,10.0,9.0
>ENST00000453566.2,8.0,10.0,9.0,11.0,9.0,8.0,9.0,12.0,16.0,8.0,10.0,8.0,9.0,7.0,7.0,11.0,10.0,11.0,7.0,10.0,12.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,7.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,0.0,9.0,10.0,5.0,6.0,10.0,9.0,8.0,10.0,8.0,8.0,6.0,12.0
>ENST00000480068.2,9.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,11.0,9.0,8.0,7.0,9.0,10.0,9.0,12.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,7.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,0.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0
>ENST00000631775.1,10.0,9.0,11.0,11.0,10.0,8.0,11.0,11.0,10.0,7.0,11.0,11.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,14.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,0.0,6.0,9.0,10.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0
>ENST00000559612.1,7.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,9.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,9.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,5.0,8.0,6.0,0.0,6.0,7.0,10.0,5.0,9.0,7.0,7.0,6.0,7.0
>ENST00000567688.1,7.0,11.0,9.0,10.0,16.0,7.0,10.0,8.0,10.0,7.0,9.0,8.0,8.0,10.0,12.0,10.0,10.0,9.0,8.0,9.0,8.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,11.0,7.0,7.0,11.0,10.0,10.0,7.0,8.0,9.0,10.0,8.0,11.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,6.0,7.0,9.0,6.0,0.0,9.0,10.0,9.0,10.0,8.0,9.0,6.0,8.0
>ENST00000584928.1,10.0,10.0,10.0,13.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0,14.0,10.0,13.0,10.0,10.0,11.0,9.0,11.0,10.0,10.0,12.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,13.0,13.0,10.0,9.0,9.0,10.0,8.0,15.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,7.0,9.0,0.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0
>ENST00000412472.2,10.0,10.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,12.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,11.0,8.0,10.0,8.0,8.0,11.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,7.0,10.0,11.0,10.0,13.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,0.0,9.0,8.0,9.0,11.0,7.0,9.0
>ENST00000414667.1,7.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,15.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,14.0,8.0,9.0,7.0,8.0,8.0,8.0,11.0,7.0,8.0,9.0,7.0,9.0,11.0,8.0,11.0,9.0,8.0,11.0,9.0,11.0,10.0,8.0,9.0,7.0,8.0,10.0,9.0,8.0,7.0,7.0,5.0,9.0,8.0,9.0,0.0,8.0,7.0,8.0,6.0,8.0
>ENST00000605422.1,9.0,9.0,10.0,9.0,13.0,7.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,12.0,8.0,10.0,9.0,10.0,8.0,9.0,11.0,10.0,11.0,7.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,7.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,0.0,8.0,9.0,8.0,10.0
>ENST00000604961.1,9.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,10.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,11.0,8.0,8.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,9.0,7.0,8.0,0.0,9.0,9.0,8.0
>ENST00000427122.2,10.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,8.0,12.0,9.0,12.0,9.0,9.0,9.0,11.0,9.0,8.0,10.0,12.0,12.0,9.0,10.0,9.0,10.0,13.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,11.0,9.0,9.0,11.0,11.0,8.0,10.0,9.0,7.0,9.0,11.0,11.0,8.0,9.0,9.0,0.0,8.0,11.0
>ENST00000421282.1,8.0,8.0,7.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,10.0,10.0,7.0,9.0,8.0,10.0,11.0,9.0,6.0,7.0,8.0,10.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,10.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,6.0,9.0,7.0,9.0,8.0,10.0,6.0,8.0,7.0,6.0,6.0,9.0,7.0,6.0,8.0,9.0,8.0,0.0,7.0
>ENST00000439514.1,8.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,12.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,13.0,9.0,11.0,9.0,8.0,9.0,11.0,11.0,11.0,8.0,9.0,8.0,10.0,10.0,9.0,12.0,8.0,8.0,7.0,8.0,10.0,9.0,8.0,10.0,8.0,11.0,7.0,0.0
